,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
0,11.8669767442,3.98813953488,14.9513223457,0.701488094435,588,5851.2,50002
1,12.7047169811,4.24748427673,13.5480124929,0.918312511761,3637,47716.1,50003
2,18.2931147541,6.10942622951,14.2753650144,0.73504913489,756,12280.24,50006
3,14.4027960057,4.81334759867,14.5227565187,0.828144038605,22665,294558.39,50009
4,15.7245160379,5.25289246856,14.7062255196,0.854616259629,64738,931101.58,50010
5,17.6311816193,5.88693654267,14.0451452774,0.686886165463,3660,48778.93,50014
6,13.6781081081,4.56189189189,12.3855782476,0.592376548094,862,10340.1,50020
7,15.7560610869,5.26462514875,14.336966075,0.793835536626,32298,503888.3,50021
8,15.2534040501,5.09441658631,12.9880740545,0.761388437375,8687,119339.23,50022
9,17.2003518679,5.74573848827,15.6257488663,0.71832502847,14702,212492.84,50023
10,13.2554634146,4.432,11.5640300921,0.872012066081,1364,16447.52,50025
11,11.6753448276,3.91448275862,12.8885204977,0.876970874177,294,3304.23,50028
12,11.0624324324,3.69418918919,12.6150576386,0.692234387935,530,5460.68,50033
13,12.6634435262,4.22845730028,14.2214792225,0.624955959049,1041,11611.98,50035
14,14.0865277778,4.70884027778,12.7694696746,0.972103320474,12788,169395.06,50036
15,6.50875,2.171875,8.71724137931,0.64851342076,390,1896.0,50044
16,11.6156862745,3.88843137255,11.8879964051,0.843367459789,199,2116.42,50046
17,12.9381767956,4.33552486188,11.2820249827,0.946037078851,2373,28929.03,50047
18,11.0037837838,3.66945945946,14.9872377622,0.891993950913,535,5143.62,50048
19,14.2108631579,4.74896842105,14.1523399077,0.834667243731,3629,47911.19,50049
20,11.6438020833,3.88796875,11.9398135639,0.750628780449,1464,15908.13,50054
21,12.8303703704,4.28407407407,11.2513777778,0.72634804626,348,3797.34,50056
22,15.2027966102,5.08610169492,13.1263713592,0.598956602416,854,10816.13,50058
23,15.8719230769,5.306,12.6380553846,0.824469570292,782,10268.42,50060
24,11.8833333333,3.96333333333,12.8310447761,0.864803138938,264,2579.04,50061
25,12.8521969697,4.30272727273,12.3332740575,0.549981218775,891,9709.74,50069
26,10.5046153846,3.52,12.9949612403,0.910081237621,198,2011.62,50071
27,12.2240540541,4.08216216216,10.8995233756,0.941593416601,279,3110.07,50072
28,11.4485869565,3.84619565217,11.7090685074,0.950395478473,635,7412.66,50075
29,11.8290909091,3.95590909091,10.8562436548,0.70841218981,330,3208.02,50076
30,13.2296428571,4.42928571429,11.3952923977,0.571270223049,386,3897.19,50107
31,10.8970967742,3.63419354839,11.8466189809,0.78301636828,521,4819.56,50109
32,15.2193745928,5.08569381107,13.9724425256,0.820752363758,9903,136766.04,50111
33,14.5723113208,4.86564690027,14.3002424123,0.833720498499,8816,118041.78,50112
34,12.390942029,4.14797101449,12.2494591086,0.785944528403,816,9624.89,50115
35,12.4002597403,4.14649350649,9.26451973566,0.941165235669,378,4640.32,50122
36,8.98566666667,3.00566666667,10.7381144239,0.84464942672,340,2665.2,50123
37,14.4604201681,4.83428571429,13.5230372058,0.885739952997,997,13357.38,50124
38,14.1545005675,4.72733825199,12.3236579902,0.898096135308,15700,190450.55,50125
39,15.8285212299,5.29040995608,13.0705017078,0.839606472049,7019,104122.1,50126
40,14.5761438679,4.86987028302,12.889288789,0.973588915675,6447,87883.94,50129
41,10.4387209302,3.49802325581,9.4204060774,0.843399785069,475,4792.82,50130
42,14.4592466074,4.83089845578,14.2123873834,0.870629357945,12242,170671.87,50131
43,12.7527160494,4.25481481481,15.3550435811,0.691675226597,374,3505.71,50135
44,10.193,3.399,11.0172065535,0.881235096038,157,1472.67,50136
45,13.4214942529,4.48326149425,13.3965025547,0.655756731535,7805,93997.23,50138
46,10.9141509434,3.65764150943,13.2295614765,0.743813093254,826,8426.04,50140
47,13.3541071429,4.46389285714,13.609200456,0.698342411684,718,8357.41,50142
48,14.5661538462,4.87,13.8716666667,0.674745230873,958,11319.28,50144
49,10.9772727273,3.66090909091,16.8731048806,0.78457047609,92,812.44,50150
50,12.5527777778,4.19105555556,12.6481725449,0.825964009772,894,10080.72,50156
51,14.9407680835,4.99117076808,14.5328798293,0.669207862919,25414,338061.38,50158
52,13.585,4.53,16.4586407767,0.772447261386,228,2542.86,50160
53,12.0561538462,4.07923076923,11.3605542725,0.991329627965,300,3689.34,50161
54,13.54,4.515,11.9309090909,0.982772024793,74,984.3,50162
55,15.0083040936,5.00766081871,14.596808606,0.697291735262,1245,16282.74,50163
56,12.4867768595,4.1694214876,13.0305790701,0.703062854946,787,8496.98,50170
57,15.4353913043,5.15466666667,13.3106695173,0.8346620877,2081,29572.98,50171
58,13.3358008658,4.4555952381,12.2924376132,0.601057238642,4325,47249.18,50201
59,13.8428571429,4.61607142857,12.3445106383,0.954566237551,228,2900.96,50207
