title,tconst,great,best,good,many,first,much,little,new,real,last,true,different,bad,human,old
The Shawshank Redemption,tt0111161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Godfather,tt0068646,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Godfather: Part II,tt0071562,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
The Dark Knight,tt0468569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Schindler's List,tt0108052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12 Angry Men,tt0050083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pulp Fiction,tt0110912,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
The Lord of the Rings: The Return of the King,tt0167260,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"The Good, the Bad and the Ugly",tt0060196,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Fight Club,tt0137523,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
The Lord of the Rings: The Fellowship of the Ring,tt0120737,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Star Wars: Episode V - The Empire Strikes Back,tt0080684,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Forrest Gump,tt0109830,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Inception,tt1375666,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
The Lord of the Rings: The Two Towers,tt0167261,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
One Flew Over the Cuckoo's Nest,tt0073486,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Goodfellas,tt0099685,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
The Matrix,tt0133093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Seven Samurai,tt0047478,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Star Wars: Episode IV - A New Hope,tt0076759,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
City of God,tt0317248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Se7en,tt0114369,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
The Silence of the Lambs,tt0102926,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
It's a Wonderful Life,tt0038650,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
The Usual Suspects,tt0114814,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
Life Is Beautiful,tt0118799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Léon: The Professional,tt0110413,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Once Upon a Time in the West,tt0064116,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Spirited Away,tt0245429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Saving Private Ryan,tt0120815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
American History X,tt0120586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Interstellar,tt0816692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Casablanca,tt0034583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
