num_votes,rating,tconst,title,type,year
1677681,9.3,tt0111161,The Shawshank Redemption,feature,1994
1147868,9.2,tt0068646,The Godfather,feature,1972
784870,9.0,tt0071562,The Godfather: Part II,feature,1974
1662925,9.0,tt0468569,The Dark Knight,feature,2008
858573,8.9,tt0108052,Schindler's List,feature,1993
443784,8.9,tt0050083,12 Angry Men,feature,1957
1315056,8.9,tt0110912,Pulp Fiction,feature,1994
1207256,8.9,tt0167260,The Lord of the Rings: The Return of the King,feature,2003
499939,8.9,tt0060196,"The Good, the Bad and the Ugly",feature,1966
1336975,8.9,tt0137523,Fight Club,feature,1999
1230525,8.8,tt0120737,The Lord of the Rings: The Fellowship of the Ring,feature,2001
831091,8.8,tt0080684,Star Wars: Episode V - The Empire Strikes Back,feature,1980
1240646,8.8,tt0109830,Forrest Gump,feature,1994
1456429,8.8,tt1375666,Inception,feature,2010
1092624,8.7,tt0167261,The Lord of the Rings: The Two Towers,feature,2002
675372,8.7,tt0073486,One Flew Over the Cuckoo's Nest,feature,1975
723237,8.7,tt0099685,Goodfellas,feature,1990
1209042,8.7,tt0133093,The Matrix,feature,1999
227541,8.7,tt0047478,Seven Samurai,feature,1954
904568,8.7,tt0076759,Star Wars: Episode IV - A New Hope,feature,1977
529782,8.7,tt0317248,City of God,feature,2002
1015623,8.6,tt0114369,Se7en,feature,1995
880326,8.6,tt0102926,The Silence of the Lambs,feature,1991
273840,8.6,tt0038650,It's a Wonderful Life,feature,1946
735633,8.6,tt0114814,The Usual Suspects,feature,1995
416353,8.6,tt0118799,Life Is Beautiful,feature,1997
720117,8.6,tt0110413,Léon: The Professional,feature,1994
214476,8.6,tt0064116,Once Upon a Time in the West,feature,1968
414071,8.6,tt0245429,Spirited Away,feature,2001
874356,8.6,tt0120815,Saving Private Ryan,feature,1998
777238,8.6,tt0120586,American History X,feature,1998
916454,8.6,tt0816692,Interstellar,feature,2014
385175,8.6,tt0034583,Casablanca,feature,1942
419134,8.5,tt0054215,Psycho,feature,1960
107252,8.6,tt0021749,City Lights,feature,1931
656577,8.5,tt0082971,Raiders of the Lost Ark,feature,1981
498210,8.6,tt1675434,The Intouchables,feature,2011
141757,8.6,tt0027977,Modern Times,feature,1936
776002,8.5,tt0120689,The Green Mile,feature,1999
313748,8.5,tt0047396,Rear Window,feature,1954
739775,8.5,tt0103064,Terminator 2: Judgment Day,feature,1991
866996,8.5,tt0407887,The Departed,feature,2006
493983,8.5,tt0253474,The Pianist,feature,2002
726081,8.5,tt0088763,Back to the Future,feature,1985
392072,8.5,tt2582802,Whiplash,feature,2014
975604,8.5,tt0172495,Gladiator,feature,2000
839864,8.5,tt0209144,Memento,feature,2000
447921,8.5,tt0078788,Apocalypse Now,feature,1979
837033,8.5,tt0482571,The Prestige,feature,2006
638550,8.5,tt0110357,The Lion King,feature,1994
340265,8.5,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,feature,1964
138577,8.5,tt0043014,Sunset Blvd.,feature,1950
559504,8.5,tt0078748,Alien,feature,1979
136403,8.5,tt0032553,The Great Dictator,feature,1940
257556,8.5,tt0405094,The Lives of Others,feature,2006
151091,8.5,tt0095765,Cinema Paradiso,feature,1988
120111,8.5,tt0050825,Paths of Glory,feature,1957
946424,8.5,tt1853728,Django Unchained,feature,2012
605352,8.4,tt0081505,The Shining,feature,1980
136883,8.5,tt0095327,Grave of the Fireflies,feature,1988
712695,8.4,tt0910970,WALL·E,feature,2008
1135250,8.5,tt1345836,The Dark Knight Rises,feature,2012
817037,8.4,tt0169547,American Beauty,feature,1999
485190,8.4,tt0090605,Aliens,feature,1986
219679,8.4,tt0119698,Princess Mononoke,feature,1997
353255,8.4,tt0364569,Oldboy,feature,2003
296085,8.4,tt0033467,Citizen Kane,feature,1941
219344,8.4,tt0087843,Once Upon a Time in America,feature,1984
218978,8.4,tt0053125,North by Northwest,feature,1959
167180,8.4,tt0082096,Das Boot,feature,1981
246873,8.4,tt0052357,Vertigo,feature,1958
62521,8.4,tt0051201,Witness for the Prosecution,feature,1957
676061,8.4,tt0086190,Star Wars: Episode VI - Return of the Jedi,feature,1983
